Metadata,https://docs.google.com/spreadsheets/d/1LC1BVzHsjmwq2FEqtoJhslfPbsr1m0mBYsUb8gA_4mc/edit?gid=1166627944#gid=1166627944,,,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Coach Name,,,,,,,,,,,,,,,,,,,,,,,,
,Wings of Ruin,RayOfDarkness,,,,,,,,,,,,,,,,,,,,,,,,
,Arizona Swellows,jowdy,,,,,,,,,,,,,,,,,,,,,,,,
,The Golden Age,Tiger78,,,,,,,,,,,,,,,,,,,,,,,,
,Adapt or Drown,Arboursole,,,,,,,,,,,,,,,,,,,,,,,,
,cough agree guys?,Tezzy,,,,,,,,,,,,,,,,,,,,,,,,
,THE LEGENDARY LEVICNCIANS,Squigs,,,,,,,,,,,,,,,,,,,,,,,,
,Anistar Angels,Katie,,,,,,,,,,,,,,,,,,,,,,,,
,Sigma Grindset,Le Chonk,,,,,,,,,,,,,,,,,,,,,,,,
,Expanding Force,Matt,,,,,,,,,,,,,,,,,,,,,,,,
,Rampaging Rufflets,rssp1,,,,,,,,,,,,,,,,,,,,,,,,
,Alaka-ZAMMNN!!,Joseph,,,,,,,,,,,,,,,,,,,,,,,,
,Mass Times Velocity,brokenmotor,,,,,,,,,,,,,,,,,,,,,,,,
,Daddy Smurf,blerg,,,,,,,,,,,,,,,,,,,,,,,,
,Five Turns in Rain,Penxil,,,,,,,,,,,,,,,,,,,,,,,,
,Chesapeke Cloyster Catchers,insideoutside,,,,,,,,,,,,,,,,,,,,,,,,
,,David V,,,,,,,,,,,,,,,,,,,,,,,,
,Slow and Not Steady,NAMU,,,,,,,,,,,,,,,,,,,,,,,,
,Mendicant Bias,Anthony,,,,,,,,,,,,,,,,,,,,,,,,
,Derpy Dondozos,RobotX888,,,,,,,,,,,,,,,,,,,,,,,,
,Spectral Alloy,rsha256,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,4,7,Katie,L,3,vs.,3,W,Tiger78,3,L,-3,,,,,,,,,,,,,
,6,5,6,Squigs,W,3,vs.,3,DF,jowdy,2,W,3,,,,,,,,,,,,,
,7,1,9,Matt,L,5,vs.,5,W,RayOfDarkness,1,L,-5,,,,,,,,,,,,,
,7,2,10,rssp1,W,3,vs.,3,L,Le Chonk,8,W,3,,,,,,,,,,,,,
,7,3,7,Katie,L,4,vs.,4,W,Tezzy,5,L,-4,,,,,,,,,,,,,
,7,4,6,Squigs,L,2,vs.,2,W,Arboursole,4,L,-2,,,,,,,,,,,,,
,7,5,3,Tiger78,W,3,vs.,3,DF,jowdy,2,W,3,,,,,,,,,,,,,
,8,1,8,Le Chonk,L,4,vs.,4,W,RayOfDarkness,1,L,-4,,,,,,,,,,,,,
,8,2,9,Matt,DF,3,vs.,3,W,Katie,7,L,-3,,,,,,,,,,,,,
,8,3,10,rssp1,L,4,vs.,4,W,Squigs,6,L,-4,,,,,,,,,,,,,
,8,4,5,Tezzy,W,3,vs.,3,DF,jowdy,2,W,3,,,,,,,,,,,,,
,8,5,4,Arboursole,W,2,vs.,2,L,Tiger78,3,W,2,,,,,,,,,,,,,
,9,1,7,Katie,L,5,vs.,5,W,RayOfDarkness,1,L,-5,,,,,,,,,,,,,
,9,2,8,Le Chonk,DF,6,vs.,6,W,Squigs,6,L,-3,,,,,,,,,,,,,
,9,3,9,Matt,W,6,vs.,6,DF,jowdy,2,W,6,,,,,,,,,,,,,
,9,4,10,rssp1,W,2,vs.,2,L,Tiger78,3,W,2,,,,,,,,,,,,,
,9,5,5,Tezzy,W,4,vs.,4,L,Arboursole,4,W,4,,,,,,,,,,,,,
,1,1,1,rsha256,L,2,vs.,2,W,David V,6,L,-2,,,,,,,,,,,,,
,1,2,2,insideoutside,W,4,vs.,4,L,Penxil,7,W,4,,,,,,,,,,,,,
,1,3,3,Joseph,W,6,vs.,6,L,Anthony,8,W,6,,,,,,,,,,,,,
,1,4,4,blerg,L,4,vs.,4,W,brokenmotor,9,L,-4,,,,,,,,,,,,,
,1,5,5,RobotX888,L,5,vs.,5,W,NAMU,10,L,-5,,,,,,,,,,,,,
,2,1,1,rsha256,L,4,vs.,4,W,insideoutside,2,L,-4,,,,,,,,,,,,,
,2,2,3,Joseph,W,3,vs.,3,L,David V,6,W,3,,,,,,,,,,,,,
,2,3,4,blerg,W,2,vs.,2,L,Penxil,7,W,2,,,,,,,,,,,,,
,2,4,5,RobotX888,L,5,vs.,5,W,Anthony,8,L,-5,,,,,,,,,,,,,
,2,5,9,brokenmotor,W,2,vs.,2,L,NAMU,10,W,2,,,,,,,,,,,,,
,3,1,1,rsha256,L,5,vs.,5,W,Joseph,3,L,-5,,,,,,,,,,,,,
,3,2,2,insideoutside,L,5,vs.,5,W,blerg,4,L,-5,,,,,,,,,,,,,
,3,3,5,RobotX888,L,4,vs.,4,W,David V,6,L,-4,,,,,,,,,,,,,
,3,4,7,Penxil,W,3,vs.,3,DF,NAMU,10,W,3,,,,,,,,,,,,,
,3,5,8,Anthony,L,0,vs.,5,W,brokenmotor,9,L,-5,,,,,,,,,,,,,
,4,1,1,rsha256,DF,3,vs.,3,W,blerg,4,L,-3,,,,,,,,,,,,,
,4,2,3,Joseph,W,3,vs.,3,L,RobotX888,5,W,3,,,,,,,,,,,,,
,4,3,2,insideoutside,DF,3,vs.,3,W,NAMU,10,L,-3,,,,,,,,,,,,,
